Title,Company,Location,Employment Type,Seniority Level,Industry,Job Functions,Description
Data Content Analyst,Moody's Corporation,"Berkeley, CA",,,,,"Role/Responsibilities

Four Twenty Seven’s Data Content team is responsible for developing and managing the processes that ensure the accuracy and timely delivery of financial and business data to support the Climate and Environmental Social and Governance (ESG) team within Moody’s Risk Assessments and its affiliates.

This role will facilitate that process, becoming a resident subject matter expert in asset-level data and its applications in supporting ESG data products and services. This role will suit a highly motivated problem solver with excellent communication skills and a proven ability to use their own initiative and work with minimal supervision. The selected candidate will collaborate with other Data Content team members, as well as Product, Research, Sales and Client Services, Procurement and Sourcing, and IT teams.

Responsibilities
Develop in-depth knowledge of our existing asset-level (aka facility-level) database, including data vendors, proprietary methods, and known strengths and limitations.
Research and maintain knowledge of the market for asset-level data including commercial data providers, public data sources, and emerging geospatial information sources.
Work with Product strategists, Research, and Data Content resources to identify where asset-level data can enhance existing offerings and contribute to new offerings.
Support research and discovery efforts related to data strategy, including trials of new vendor data and integration of other in-house data sets. Provide feedback on business needs to Procurement and Sourcing function.
Interface with ESG Sales and Client Services contacts as a subject matter expert on asset-level data, addressing incoming questions and developing marketing collateral.
Interface with overseas analysts to facilitate targeted collection of asset-level data based on agreed-upon priorities.
Build and maintain relationships with the broader ESG team to support further collaboration.
Qualifications
Bachelor’s Degree required. Master’s degree in Operations, Management, Engineering, Accounting, Finance or a related field preferred.
3-5 years of hands-on experience working with structured data sets, reference identifiers, and relational data models required.
Experience in finance and capital markets, economics, or business preferred.
Proficient in analytical software tools, including MS Excel, business intelligence platform(s), and data storage and manipulation tools (Python preferred, R, SQL).
Strong analytical skills, persistence, and willingness to learn new technologies.
Strong organizational skills, attention to detail and able to work independently.
Excellent written and oral communication skills.
LOB/Cost Center

Moody's Risk Assessments

Moody’s ESG Solutions Group (MESGS) is a business unit of Moody’s Corporation serving the growing global demand for ESG and climate insights. The group leverages Moody’s data and expertise across ESG, climate risk, and sustainable finance, and aligns with Moody's Investors Service (MIS) and Moody's Analytics (MA) to deliver a comprehensive, integrated suite of ESG and climate risk solutions including ESG scores, analytics, Sustainability Ratings and Sustainable Finance Reviewer/certifier services. It houses V.E and 427, both affiliates of Moody’s.

Job Req ID

21341BR

Entity

Moody's Shared Services (MSS)

Line of Business

Moody's Risk Assessment (MRA)

Regular/Temporary

Regular

City

Berkeley, Charlotte

Job Category

Corporate Services

Job Sub Category

Corporate Services

Experience

Level

Experience

d Hire

Working at Moody's

Moody's (NYSE: MCO) is a global integrated risk assessment firm that empowers organizations to make better decisions. Our data, analytical solutions and insights help decision-makers identify opportunities and manage the risks of doing business with others. We believe that greater transparency, more informed decisions, and fair access to information open the door to shared progress. With over 11,000 employees in more than 40 countries, Moody's combines international presence with local expertise and over a century of experience in financial markets. Learn more at moodys.com .

Entity

Moody’s Shared Services are the front line professionals including Finance, Technology, Legal, Compliance and Human Resources, that operationally support our business units. Exceptional Shared Services teams are vital to the international success of our business.

EEO Policy

Moody’s is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, gender, age, religion, national origin, citizen status, marital status, physical or mental disability, military or veteran status, sexual orientation, gender identity, gender expression, genetic information, or any other characteristic protected by law. Moody’s also provides reasonable accommodation to qualified individuals with disabilities in accordance with applicable laws. If you need to inquire about a reasonable accommodation, or need assistance with completing the application process, please email accommodations@moodys.com . This contact information is for accommodation requests only, and cannot be used to inquire about the status of applications.

For San Francisco positions, qualified applicants with criminal histories will be considered for employment consistent with the requirements of the San Francisco Fair Chance Ordinance. For New York City positions, qualified applicants with criminal histories will be considered for employment consistent with the requirements of the New York City Fair Chance Act. For all other applicants, qualified applicants with criminal histories will be considered for employment consistent with the requirements of applicable law.

Click here to view our full EEO policy statement. Click here for more information on your EEO rights under the law. Click here to view our Pay Transparency Nondiscrimination statement.

Securities Trading Policy (STP)

Candidates for Moody's Corporation may be asked to disclose securities holdings pursuant to Moody’s Policy for Securities Trading and the requirements of the position. Employment is contingent upon compliance with the Policy, including remediation of positions in those holdings as necessary."
Business & Data Analyst,Caterpillar Inc.,"Chicago, IL",,,,,"Career Area

Description

Finance

Job Description

The Global Construction and Infrastructure (GCI) Division has an exciting opportunity for a Business & Data Analyst. As the Sales and Marketing arms for Excavation, Earthmoving and Load & Haul, our division operates all around the globe dealing with customers and dealers in a highly competitive environment.

A cross-functional role such as Business & Data analyst is to tell compelling stories with data that empower organizational leaders to make better and more informed decisions.

Within the GCI business resource team, this role will be supporting our North American sales team (Industry Sales and Corporate Accounts). The incumbent will be mainly responsible for designing and maintaining data in preparation for analysis and to communicate insights/recommendations to the sales teams. This position is a unique opportunity to learn about our commercial organization and to work on complex business issues. You will be integrated into a dynamic worldwide business resource team and be able to demonstrate excellent analytical and interpersonal skills.

Significant challenges of this position are working with people; enhancing the team’s creativity; maintaining knowledge of approaches used in similar projects; and pushing the technical bounds of experimentation while meeting customer commitments.

The position will be supporting the GCI North American Sales Team. Accordingly, the preferred location of the candidate is Peoria (IL) or Chicago (IL) office. ISE is not available for this assignment.

Limited Travel required (10-20%)

Focus Areas & Responsibilities
Designing and maintaining data systems and databases, including troubleshooting potential issues
Mining and cleaning data in preparation for analysis
Identify integration issues with other projects/processes and coordinate the improvements with the appropriate project/process owners to accomplish the project goals.
Ensure projects are integrated with other business activities, improvement projects, and business strategy across the world to leverage regional development into our worldwide organization.
Communicating insights with business teams and key stakeholders
Evaluating business processes for more efficiency, cost, and other valuable metrics such as OPACC
Preparing reports which effectively communicate on GCI Key metrics (PINS, Pricing, Service Sales performance, etc.) their findings to organizational leadership and key stakeholders
Preparing strategic recommendations for process adjustments, procedures, and performance improvements
Basic Qualifications
University degree preferably in finance, business administration, statistics, or data analytics with at least 3 years job related experience OR 5+ years specific data and business analysis experience
Excellent skills in Power BI including DAX (Data Analysis Expressions)
Must be comfortable working in MS Office
Good analytical and problem-solving skills
Strong communication and interpersonal skills
Top Candidates Will Also Have
Previous experience in developing Insights with Power BI
Knowledge of Power Query M, SQL, DevOps, Alteryx and/or Snowflake is a plus.
Effective Team building and collaborative skills
Ability to multi-task effectively
Effective written and verbal communication
Passion to learn about Data Governance and related functional disciplines
Strong business acumen
Proven strong sense of urgency to complete tasks on time to meet goals or deadlines.
Prior experience exhibiting project management skills
Displays level of comfort reporting insights to senior and executive management
Demonstrated focus on quality and customer needs
Additional Information

Please frequently check the email associated with your application, including the junk/spam folder, as this is the primary correspondence method. If you wish to know the status of your application – please use the candidate log-in on our career website as it will reflect any updates to your status.

This employer is not currently hiring foreign national applicants that require or will require sponsorship tied to a specific employer, such as H, L, TN, F, J, E, O. As a global company, Caterpillar offers many job opportunities outside of the U.S. which can be found through our employment website at www.Caterpillar.com/Careers.

#LI

Relocation is available for this position.

EEO/AA Employer. All qualified individuals - Including minorities, females, veterans and individuals with disabilities - are encouraged to apply.

Not ready to apply? Submit your information to our Talent Network here."
Data Analyst,Maine Medical Center Research Institute,,,,,,"Follow Us on LinkedIn and Be the First to Know About Our Job Openings

Research Data Analyst III – Center for Outcomes Research & Evaluation (CORE)

Integrates, cleans, analyzes and presents data in support of the assigned project and/or department. Uses applied statistics, sampling, univariate, multivariate, and time to event analytic techniques which encompass study design, implementation and data management, monitoring and reporting. The individual in this role must be able to work independently.

Minimum Knowledge, Skills, And Abilities Required

License/Certifications: N/A

Experience: 5-7 years’ experience analyzing data required. 3-5 years in healthcare preferred. Experience in working with large clinical and/or administrative claims databases, including both for management and analysis is desirable.

Advanced knowledge of and experience with spreadsheet, relational database, graphics and word processing software is required. Advanced skills with at least one statistical software package is required, e.g SAS, R, STATA, SPSS. Proficiency with multiple statistical software packages is preferred.

Capable of searching and critically appraising medical literature.

Ability to work and interact with multiple departments.

Ability to manage and lead multiple projects.

Effective verbal and written communication skills. Ability to convey complex concepts to a diverse audience.

Strong analytical and problem-solving skills are essential attributes for this position.

Ability to pay attention to detail.

Teaching and supervisory skills are highly desirable.

Copyright 2017 Maine Medical Center Research Institute | All Rights Reserved | Powered by WordPress | Theme Fusion

81 Research Drive | Scarborough, ME | 04074"
Data Analyst,Modern Woodmen of America,"Rock Island, IL",,,,,"Modern Woodmen of America’s Enterprise Program Management Office is seeking a Data Analyst to assist in gathering, organizing and using data to make critical business decisions, such as which new products to develop, new markets to enter, new investments to make and new (or existing) customers to target.  This includes analyzing business metrics, conducting market research and explaining the implications of the data collected.  As a data analyst you will focus on data requirements and work with the business to document data and its usage throughout the enterprise.  

What would you do?

Contribute to logical data modeling, including ensuring that project-level data aligns and can integrate appropriately with existing enterprise logical models.
Work with data stewards and business analysts to document data-specific requirements for projects.
Collaborate with data stewards and IT resources to identify and document existing business rules and transformations around data elements.
Analyze how data is being used by the business and identify opportunities for improvement.
Maintain the enterprise data education resources, such as training materials, procedures, data catalog, data glossary.
Maintain appropriate enterprise-level documentation for solutions and projects.
Assist with the use of self-service reporting and visualization tools within the business.
Work with all areas of the business to help identify new and changing data needs.
Serve as a member of the Data Management Team to help establish governance.
What do we expect from you?

Bachelor’s degree in business analytics, information systems or related discipline.
One year of related experience preferred, but not required in data analysis within the insurance industry.
Previous experience with SQL, PowerBI, Erwin and Informatica tools preferred but not required.
Knowledge of relational database design, querying and modeling.
Previous experience analyzing data and predicting future outcomes preferred but not required.
Able to communicate and explain clearly, concisely, and effectively with both business users and technical specialists.
Excellent analytical skills and the ability to relate data requirements in a clear and concise manner.
Salary based on experience.

Modern Woodmen is an equal opportunity employer. We strive to maintain a culture of respect and are committed to diversity and inclusion for all employees."
Data Financial Analyst,PAE,"Washington, DC",,,,,"Supporting the Most Exciting and Meaningful Missions in the World

Data Financial Analyst

PAE has upcoming openings for Data Financial Analysts to support the US Attorney's Office in Washington, DC.
Use database tools to extract, analyze, summarize and create visualizations of data from complex and varied datasets;
Develop databases, statistical tools and methods to analyze healthcare claims, procedure codes, other data and evidence for potential fraud for civil and criminal matters;
Create, implement, analyze and present statistically valid random sampling plans and methodologies, and review plans developed by other experts;
Develop statistically valid damages models;
Develop computerized models to assist in the presentation of data;
Communicate findings to attorneys and investigators;
Work with independent experts;
Conduct trainings on sampling methodologies and advanced data manipulation and visualization.
Minimum Qualifications
Must be able to obtain and maintain a US government security clearance.
Bachelor of Science degree in accounting, statistics, economics or similar field required; Master’s degree strongly preferred.
Minimum of 4 years of relevant experience in litigation consulting and/or health care fraud analysis, including supporting criminal and civil investigations required.
Knowledge of accounting and auditing principles required.
Ability to perform all analyzes, calculations, and simulations using code written using SAS software or similar; advanced Excel, Access and other database skills required.
Strong analytical, technical, interpersonal, and communication skills required.
Must be able to work individually as well as in teams.
Must have experience managing people in a team environment.
PAE is proud to be an Equal Opportunity Employer. Our hiring practices provide equal opportunity for employment without regard to race, religion, color, sex, gender, national origin, age, United States military veteran’s status, ancestry, sexual orientation, marital status, family structure, medical condition including genetic characteristics or information, veteran status, or mental or physical disability so long as the essential functions of the job can be performed with or without reasonable accommodation, or any other protected category under federal, state, or local law.

EEO is the Law Poster

EEO is the Law Poster Supplement"
Sr. Data Analyst,Icon Media Direct,"Los Angeles, CA",,,,," **CANDIDATES WILL NOT BE CONSIDERED WITHOUT AN ATTACHED RESUME**

JOB POSTING (role Summary):  
 Icon Media Direct is seeking an experienced Senior Data Analyst to join our Data Science and Analytics team. The Senior Data Analyst is expected to perform media impact analysis driving effective media campaigns and use data to evaluate performance for our elite roster of clients.  
This role will report to the Sr. Director of Data Science and Analytics and work closely with members of the Data Science and Analytics team and Account Managers from the Client Services team to conduct statistical analyses and account performance for our clients. The Senior Data Analyst will acquire, extract, and transform a variety of data sets from different resources for analysis, set up attribution models, and be the subject matter expert of all things data for our clients’ business performance.  
The ideal candidate is a sharp, creative, detail-oriented, analytical, and highly quantitative individual with passion for data manipulation, data analysis, and working with cross-functional teams.  
Job Responsibilities include, but not limited to:  
 Work with team leaders, Data Scientists, and Analysts to translate data to clear recommendations and communicate the story internally and externally.  
Partner with the Client Services team to generate actionable recommendations to help clients optimize their media marketing budgets and make data-driven marketing decisions. 
Deliver analytics and performance reporting in an accurate and timely manner.  
Set up attribution models for new clients.  
Liaise with Client Services and Business Information Management (BIM) teams for understanding requirements and explaining results.  
Document findings on Confluence and contribute to presentations. 
Check and debug any data-related issues to ensure accuracy and data integrity. 
Proactively generate thoughtful analysis to help Account Managers understand client TV attribution and performance.  
Manage multiple projects and timelines to ensure high quality data deliveries.  
  Qualifications: 
 Statistical knowledge on probability distributions, hypothesis testing, and Time Series models and analysis. 
Proficient in querying databases (SQL) and strong understanding of relational database.  
Proficiency in Tableau and/or other data visualization tools (Power BI, BI360) 
Above average knowledge of Excel (Pivot Tables, lookups, chart functions, etc.) 
Cloud data experience – S3, AWS EC2, RDS and/or Snowflake  
Ability to identify, analyze, and interpret trends or patterns in complex data sets.  
Excellent interpersonal, verbal, and written communication skills, and ability to communicate complex ideas and strategy to both internal and external clients. 
 Education and Experience Requirements: 
 Bachelor’s degree in business, statistics, mathematics, marketing analytics, economics, or other quantitative or science fields. 
2-4 years of experience as a Data Analyst working with business partners to drive quantitative analysis and recommendations. 
Experience in marketing analytics, digital advertising, or media agency is a must.  
Demonstrated experience with data manipulation and analysis. 
 About Icon Media Direct:  
Icon Media Direct is a leading brand response media agency obsessed with maximizing ROI for our clients. We are a group of experts in media, technology, relationships and analytics working together to consistently exceed our clients’ expectations. With over 20 years of experience, we pride ourselves in the deep relationships we have built with our clients, partners and employees. Headquartered in Sherman Oaks, CA, Icon Media Direct strives to be an employer of choice, offering competitive benefits and compensation, true work/life balance, and a fun, energetic company culture. We are an organization, truly focused on the growth of our team. With in-depth leadership training, strengths-based coaching and mentorship programs, we foster a culture of continual development and positive collaboration. 
 Other Considerations: 
Salary based on skills and experience 
Skills will be tested upon interview 
All applicants are subject to background checks and offers of employment will be pending the verification of information listed on application 
All applicants will need to provide a list of professional references 
Icon Media Direct is an Equal Opportunity Employer 
For more information, please visit our website at: IconMediaDirect.com  
  **NO RECRUITERS OR PHONE CALLS PLEASE**"
Entry Level Infrastructure Analyst,Revolution Technologies,"Waterloo, IA",,,,,"Works on a delivery team along with infrastructure engineers and supports basic systems and Infrastructure deployment and/or maintenance to deliver functionality on a system. This entry-level role is designed to learn, grow in competence, and develop the most basic capability needed to operate effectively in this role. Works on low complexity infrastructure problems, routine changes, and improvements to existing processes, with review. Delivers basic Infrastructure use-cases. The role relies on basic knowledge and experience on a single infrastructure technology (collaboration, desktop, network, server, storage, etc.) and basic understanding of relevant components & systems. Delivers infrastructure technology for multi-functional business requirements with limited interrelationship to the overall business process. May have some interaction with functional business partners on tactical issues and limited contact with suppliers. Receives guidance from Scrum Master/senior team member. Work and decisions are reviewed by supervisors before implementation.

Major Duties:
Builds the work needed to implement functionality from the product backlog (managed by the product owner).
Determines the size of user stories.
Creates and maintains automated test scripts and executes all other testing-related tasks.
Tests deliverables against a user stories acceptance tests.
Maintains and executes product or service documentation, as directed.
Works closely with other team members to ensure that features meet business needs.
Follows industry-standard agile Infrastructure design methodology for development and documentation.
Works collaboratively with security, software delivery teams and other partners.

Qualifications:
Excellence in verbal and written communication forms with emphasis on persuasive communication, tact and negotiation.
Understanding of relevant infrastructure components and operating systems and the ability to troubleshoot in those environments.
Ability to analyze, translate, and define business requirements into technical solutions.
Business knowledge, e.g., processes, relationships, etc.
Employee motivation and engagement skills

Education:
Degree in an Engineering/Technology discipline or equivalent experience.
Degree in an Information Technology discipline or equivalent experience.

Relevant work experiences:
Previous experience in programming/software development/data analyst. (1 - 3 years)
Experience working in an Agile Environment (Less than 1 year)
Work experience in a team environment. (Less than 1 year)

Specific Position Requirements:
3rd shift position (10:30 pm to 7:00 am) with overtime possible.
These positions will be desktop support with some knowledge of networking and infrastructure expertise. Entry level positions, manager is open to recent grad candidates. Candidates must have some experience with computer support."
Senior Data Analyst,Togo Group,United States,,,,,"Who is Togo Group:
Togo Group is creating the leading technology platform for road-based travel and outdoor tourism. For consumers, Togo Group brings together products and services that empower travelers to discover, book, and navigate road trips, and to unlock the experience of RV camping. Learn more at https://www.togogroup.io/.

We are looking for a talented Senior Data Analyst to join the Togo Group team!
Togo Group is seeking a Senior Data Analyst to work closely with business and product teams to identify important questions, define key success metrics, surface opportunities, and shape data-informed business and product decisions. The role takes part in owning the development, maintenance, and delivery of the Data Platform.
The Data & Analytics team helps Togo Group develop and execute organizational and product strategies. We are building a modern data platform, turning complex data into valuable insights and compelling stories. Whether optimizing our consumer apps or guiding marketing and partnership strategies, we love to empower our teams to challenge conventional wisdom with accurate and reliable data.

Where You're Located:
Candidates for this role will be based in the United States and can work remotely or in our Chicago or Cincinnati offices. 

Your Impact:
Work closely with business and product teams to identify important questions, define key success metrics, surface opportunities, and shape data-informed business and product decisions.
Contribute to owning the development, maintenance, and delivery of the Data Platform, using data management best practices to turn raw data into clean, standardized, documented organizational assets using Snowflake, dbt, & Looker.
Work as a liaison between the business and engineering teams to help ensure new features think about analytics impacts at feature inception.
Formulate and implement techniques for auditing and evaluating data collection quality, ensuring adequacy, accuracy, and legitimacy of data.
Strategize on making analyses easily repeatable and accessible.
Protect and secure organization data, ensuring adherence to internal policies and external laws/regulations (e.g., GDPR, CCPA).
Build out actionable insights through a deep knowledge of the business and data collected.
Develop reporting and dashboards to answer and monitor business questions and KPIs.
Champion the Togo Group culture, leading by example and delivering through the lens of our “Rules of the Road”.

What You’ve Done Before:
5+ years experience in a technical and highly analytical role
Bachelor’s degree in a quantitative field (e.g., Economics, Statistics, Sciences, Engineering)
Ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy 
Highly skilled at writing performant SQL to query relational databases
Strong communication and presentation skills
Experience working with highly technical teams
Ability and experience to communicate technical detail across teams
Experience cleaning and transforming data into clear and easy-to-understand metrics and dashboards/visualizations (Looker, Tableau, etc.)
Knowledge of data privacy laws and regulations (e.g. GDPR, CCPA, etc.) (Preferred)
Experience architecting data warehouses or relational databases (Preferred)
Experience with ELT platforms and/or Snowflake, dbt, or Looker (Preferred)
Familiarity with R or Python (Preferred)

Why you should join our pack:
Flexible Workplace: While our headquarters are in Cincinnati and Chicago, our team lives across the globe. We partner with our team to help them achieve personal and professional alignment, helping our employees to define their own blend of work-life balance.
Office Perks: Employees that work out of one of our main offices enjoy beverages, snacks, lunches and happy hour benefits.
Unlimited Vacation & Extensive Holiday Schedule: We believe this is a partnership and we trust our employees to build their own time-off schedule and encourage our teams to take time for their well-being.
Collaborative & Inclusive Culture: Our employees work in small, self-organized and cross-functional teams that determine the best tactics to support the vision and strategy set by leadership. We encourage and welcome all ideas, taking an agile approach to creating an amazing product.
Growth Opportunity: Through hands-on learning and development, the opportunities are endless.
Focus on Well-Being: We pride ourselves on offering numerous benefit options to best fit the needs of our employees and their families, including domestic partners. Benefits include medical (PPO & HDHP-HSA), dental, vision, flexible spending account, commuter benefit, discount programs, life & disability insurance and accident insurance. We also offer a 401k program with company match and paid parental leave.
Live your Passion: We believe in living our mission and vision, as a member of our team our employees enjoy a lifetime subscription to both Roadtrippers Plus and Togo RV Plus! In addition to our Work-Detoured benefit which encourages and reimburses our team to live our brand by enjoying the outdoors.

The Togo Group is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive and high-performing workplace culture. We strongly believe in the value of growing a diverse team and encourage people of all backgrounds, genders, ethnicities, abilities, and sexual orientations to apply.

If you are covered by the American with Disabilities Act (ADA) and would like to request assistance with our website or application process, please contact us at HumanResources@togogroup.io. Togo Group is an equal opportunity employer. M/F/D/V/SO"
Data Analyst,LRW,"Philadelphia, NY",,,,,"Introduction

Everyone at LRW is responsible for pioneering new ways, opening new doors, and contributing to a culture of the most brilliant and beautiful minds in the business.

Overview

Our experienced leadership team offers stability and structure, while our commitment to innovation fosters groundbreaking initiatives that help us improve our research approaches—like our Pragmatic Brain Science teams, who explore new psychological frameworks to better understand customer motivations. We are looking for a passionate Data Analyst who will turn large datasets into understandable information, able to deliver data deliverables in a variety of formats, leading to clear insights aligned to client objectives. The right person for this role thrives in a fast-paced environment, loves problem-solving, turning information into insights, and gains personal happiness from transforming data into knowledge and driving business action. WE OFFER
Competitive benefits package, including medical, dental, vision, 401k matching, paid time off, paid parking, casual dress, company-wide and team events
Centrally located offices in energizing cities around the country
Performance-based culture and endless opportunities for growth
Mentorship and formal training to help you grow, including courses from LRW University
Responsibilities

ABOUT THE ROLE In this role, you will perform:
Analytic Request Management: Translate end-client requests and inquiries into thoughtful, thorough investigations. Identify the best approach to address the question, the most efficient solution to run the analysis, QA/QC, and package based on the specific need. Surface data/analytic quality issues.
Deep-Dive Analysis: Analyze data to identify patterns, uncover opportunities, and unpack trends/changes over time on larger analytic initiatives. Help develop analytic plans to address broader objectives.
Partnership and communication: Partner closely with project managers to solve client analytic inquiries both large and small, and with others to provide data in the relevant format with appropriate context.
About You

Requirements
BA/BS in Math, Economics, Statistics, Computer Science, or other quantitative fields
3+ years’ work experience doing quantitative analysis
Ability to pull and analyze large and complex datasets
Ability to think strategically, analyze and interpret market and consumer information in relation to business issues and marketing constructs
Ability to synthesize and communicate complex concepts and analyses in easy to understand ways
Proficient understanding of statistics concepts (e.g., hypothesis testing, regression analysis)
Familiarity with online productivity tools (e.g. Google Suite/Tableau)
Excellent verbal and written communication skills
Must have an analytical mind and inclination for problem solving
Self-motivated, detail-oriented, learn autonomously, and highly organized"
Data Analyst II,Viri Technology,Greater Seattle Area,,,,,"Data Analyst II, QA
Quality Assurance  Bellevue, Washington

We are looking for someone that is highly motivated and knows how to get things done quickly and efficiently. We are seeking a talent who will share our obsession for data accuracy; someone with an insatiable appetite for learning new things and accomplishing challenging goals in a fast-paced (and not always structured) environment. 
Responsibilities: 
Understand, inside and out, all data streams collected, calculated, and attributed by company.
Design and implement testing plans for products.
Identify procedures and scenarios for the quality control of products and services.
Process product reviews and inform the development team of defects and errors.
Communicate quantitative and qualitative findings from test results to the development team.
Monitor efforts to resolve product issues and track progress.
Ensure that the final product satisfies the product requirements and meet end-user expectations.
Spot areas for improvement to enhance the product's efficiency.
Qualifications Required:
5 years’ experience in data analysis and quality testing required.
Advanced level of Excel.
Advanced level of Tableau, Qlik, and/or other BI tools.
Advanced SQL knowledge.
Experience using automation tools such as Selenium and Ghost Inspector. Experience building tests for these tools preferred.
Experience reading Python or Java. Experience building testing/data analysis tools using one of those languages preferred.
Experience owning and managing testing projects, reporting status updates to stakeholders, documenting impact analyses, and keeping detailed meeting notes and up-to-date test plans.
Experience mentoring and training junior analysts.
Strong analytical and problem-solving skills.
Excellent verbal and written communication skills.
Creative and innovative thinker.
Diligent and meticulous, with excellent attention to detail.
Must be located in WA 
We provide competitive salaries as well as great benefits. Most importantly, we provide the opportunity to help build a great company!"
Business Data Analyst,"Versa Consulting Group, LLC","Dallas, TX",,,,,"Position

located in Uptown Dallas

Compensation

65k - 80k plus 15% bonus

Job Responsibilities
Ensure information is recorded accurately in the Company’s systems
Work closely with the Trading Desk, Compliance, Operations, Fund Accounting, and Marketing on regulatory reporting, internal and external reporting requests, transaction settlements
Research, gather and record security-level attributes for all new securities to be purchased or analyzed
Ensure the accurate setup and maintenance of listed and over-the-counter instruments
Review and verify day-over-day changes to investment-level attributes
Identify and resolve data discrepancies across systems in a timely manner
Work with teams across the firm to understand and document data and workflow requirements
Assist with managing the firm’s proprietary security master platform and workflow with an eye toward automation and continuous improvement
Create quality control metrics to identify potential data issues and resolve as required
Work closely with Business Technology Team on various projects to further enable business process improvements
Job Requirements

Bachelor’s degree from accredited university Experience

2-4 years of total professional experience

At least 2 years of experience at a credit or multi-strategy hedge fund, fixed-income asset manager, investment bank, or financial technology company focused on capital markets (no retail banking or insurance) Knowledge and Skills

Knowledge of or the ability to quickly develop in-depth knowledge of various asset classes, including equities, bonds, loans, structured products, derivatives, and cash and currency instruments

Ability to become knowledgeable in various data vendor platforms and software tools

Proficiency with the Bloomberg Terminal

Advanced proficiency with Excel

Ability to multi-task and balance between day-to-day operational tasks and longer-term projects

Experience

working with large datasets using Excel or other business intelligence software

Extremely detail oriented"
Business Data Analyst,Red Hat,,,,,,"Job Summary

The Red Hat Products and Technologies (PnT) Business Insights team is looking for a Business Data Analyst who is passionate about solving business problems, automating data, and reporting needs using analytics tools to join us in Raleigh, NC. In this role, you will gather business requirements, develop measurement strategies, and assign program KPIs. You will measure performance, analyze customer behavior and trends, build dashboards, and transform raw data into actionable insights that inform business decisions.

Primary Job Responsibilities
Work cross-functionally with leadership, program managers, data analysts, and other stakeholders to understand and achieve business priorities
Elicit business requirements and develop measurement plans for strategic programs
Understand business problems in detail with all nuances
Map the solutions to the data domain and generate the SQL workflow
Collect and analyze data through manual and automated collection methods
Interpret data, analyze results using analytics techniques, and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Identify, analyze, and interpret trends or patterns in complex datasets
Technical expertise regarding data models, database design development, data mining, data cleansing, and data extraction and segmentation techniques
Translate abstract data into easily-digestible and highly-visual dashboard applications and executive-level report deliverables
Collaborate with other analysts, data engineers, and data scientists to provide exceptional customer support to our internal stakeholders
Analyze large datasets and translate abstract data into highly-visual and easily-digestible formats

Required Skills
3+ years of experience working in a data analyst role
Excellent communication, organization, and time management skills
Ability to interpret large amounts of data and handle multiple priorities
Adequate knowledge of data collection methods
Working knowledge of data warehousing, modeling, and mining
Direct experience handling data
Solid knowledge of and experience with reporting packages like Tableau, Qlik Sense or SAP Business Objects (BOBJ), etc., databases (SQL, etc.), and programming languages like Python or R
Good analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Solid knowledge of ETL concepts
Good analytical and critical thinking skills
Proven record of translating business objectives and requirements into prioritized, action-oriented deliverables with measurable success criteria
Passionate about data-driven decision making and ability to perform analysis on large datasets
Advanced spreadsheet data manipulation skills
Ability to work well as part of a team and effectively interact with partners and stakeholders at all levels and across global regions
Motivated with initiative and ability to work under minimal direction
Ability to adapt quickly to shifting priorities
Knowledge of statistics and experience using statistical packages for analyzing datasets
Good knowledge of open source is a plus

About Red Hat

Red Hat is the world’s leading provider of enterprise open source software solutions, using a community-powered approach to deliver reliable and high-performing Linux, hybrid cloud, container, and Kubernetes technologies. Red Hat helps customers integrate new and existing IT applications, develop cloud-native applications, standardize on our industry-leading operating system, and automate, secure, and manage complex environments. Award-winning support, training, and consulting services make Red Hat a trusted adviser to the Fortune 500. As a strategic partner to cloud providers, system integrators, application vendors, customers, and open source communities, Red Hat can help organizations prepare for the digital future.

Benefits
Comprehensive medical, dental, and vision coverage
Flexible Spending Account - healthcare and dependent care
Health Savings Account - high deductible medical plan
Retirement 401(k) with employer match
Paid time off and holidays
Paid parental leave plans for all new parents
Leave benefits including disability, paid family medical leave, and paid military leave
Additional benefits including employee stock purchase plan, family planning reimbursement, tuition reimbursement, transportation expense account, employee assistance program, and more!
Note: These benefits are only applicable to full time, permanent associates at Red Hat located in the United States.

Red Hat is proud to be an equal opportunity workplace and an affirmative action employer. We review applications for employment without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, ancestry, citizenship, age, uniformed services, genetic information, physical or mental disability, medical condition, marital status, or any other basis prohibited by law.

Red Hat does not seek or accept unsolicited resumes or CVs from recruitment agencies. We are not responsible for, and will not pay, any fees, commissions, or any other payment related to unsolicited resumes or CVs except as required in a written contract between Red Hat and the recruitment agency or party requesting payment of a fee."
